Time,Open,High,Low,Latest,Change,%Change,Volume,Open Int
04/11/2025,5299.25,5418.25,5206.00,5391.25,89.25,1.68%,1759660,2159608
04/10/2025,5502.50,5528.75,5146.75,5302.00,-189,-3.44%,2524214,2182278
4/9/2025,5006.25,5520.00,4871.75,5491.00,470.75,9.38%,3096194,2248087
04/08/2025,5126.50,5305.25,4940.50,5020.25,-77,-1.51%,2438061,2306548
04/07/2025,5007.00,5286.50,4830.00,5097.25,-13,-0.25%,3673583,2296543
04/04/2025,5423.00,5435.00,5074.00,5110.25,-322.5,-5.94%,3678162,2233965
4/3/2025,5550.50,5564.75,5415.25,5432.75,-279.5,-4.89%,2470412,2168022
4/2/2025,5672.00,5773.25,5566.25,5712.25,37.75,0.67%,2060456,2102311
4/1/2025,5644.25,5694.75,5600.25,5674.50,21.25,0.0038,1871505,2100918
03/31/2025,5590.00,5672.75,5533.75,5653.25,30.25,0.54%,2229839,2091441
03/28/2025,5741.75,5747.75,5602.25,5623.00,-116.25,-2.03%,1910914,2082053
03/27/2025,5737.25,5779.75,5720.00,5739.25,-20.25,-0.35%,1575855,2064619
03/26/2025,5831.00,5836.50,5743.00,5759.50,-67,-1.15%,1483959,2070698
03/25/2025,5813.00,5837.25,5802.25,5826.50,11,0.19%,1078548,2064932
03/24/2025,5740.00,5825.50,5739.00,5815.50,97.25,1.70%,1404629,2086227
03/21/2025,5715.25,5723.75,5651.25,5718.25,5.5,0.10%,1629871,2072811
03/20/2025,5731.75,5765.25,5682.50,5712.75,-17,-0.30%,1726750,2071429
