Time,Open,High,Low,Latest,Change,%Change,Volume,OpenInt
01/20/2026,6918.25,6935.00,6822.25,6829.50,-147.25,-2.11%,2391547,1916108
01/16/2026,6986.75,7007.00,6960.50,6976.75,-5,-0.07%,1297479,1921700
01/15/2026,6955.75,7017.25,6949.50,6981.75,15.5,0.0022,1293668,1898284
01/14/2026,6998.50,7002.50,6923.25,6966.25,-35.5,-0.51%,1768305,1893853
01/13/2026,7014.00,7036.25,6976.75,7001.75,-14.75,-0.21%,1376658,1902584
01/12/2026,7007.00,7025.25,6950.00,7016.50,11.5,0.0016,1063552,1919677
01/09/2026,6973.25,7017.50,6954.25,7005.00,43,0.0062,1342341,1945702
01/08/2026,6967.50,6977.75,6935.25,6962.00,-1.25,-0.02%,1303097,1928925
01/07/2026,6988.50,7006.75,6958.00,6963.25,-24.5,-0.35%,1264816,1938696
01/06/2026,6945.50,6991.50,6931.00,6987.75,44,0.0063,1192527,1941410
01/05/2026,6911.50,6963.50,6899.50,6943.75,43.25,0.0063,1262018,1918553
01/02/2026,6902.00,6939.75,6866.75,6900.50,8,0.0012,1571467,1925402
12/31/2025,6945.50,6951.50,6890.25,6892.50,-51.75,-0.75%,990179,1927162
12/30/2025,6956.50,6961.50,6940.75,6944.25,-10.75,-0.15%,773655,1932732
12/29/2025,6980.50,6984.75,6936.00,6955.00,-24.25,-0.35%,882739,1926903
12/26/2025,6979.50,6994.00,6969.00,6979.25,-3.25,-0.05%,636544,1921749
12/24/2025,6959.50,6988.00,6952.50,6982.50,21.5,0.0031,457055,1917693
12/23/2025,6930.75,6963.75,6913.25,6961.00,30.75,0.0044,874601,1907572
12/22/2025,6906.25,6936.25,6900.50,6930.25,43,0.0062,989308,1896001
12/19/2025,6824.75,6895.25,6820.00,6887.25,56.75,0.0083,1403081,1900908
12/18/2025,6792.00,6872.00,6771.50,6830.50,52,0.0077,2172610,1897311
12/17/2025,6849.25,6882.50,6775.50,6778.50,-77.75,-1.13%,1950248,1898577
12/16/2025,6882.75,6892.00,6817.50,6856.25,-24.75,-0.36%,2345394,1779256
12/15/2025,6890.00,6932.25,6864.25,6881.00,-9.5,-0.14%,2096957,1385777
12/12/2025,6973.75,6975.25,6864.00,6890.50,-76,-1.09%,899120,695728
12/11/2025,6947.00,6988.00,6875.50,6966.50,16.5,0.0024,304806,308974
12/10/2025,6906.25,6966.00,6889.00,6950.00,43.5,0.0063,79292,175296
12/09/2025,6922.00,6930.75,6902.00,6906.50,-7.25,-0.10%,47327,145706
12/08/2025,6942.75,6952.50,6893.25,6913.75,-23.25,-0.34%,57548,124103
12/05/2025,6924.25,6963.25,6915.75,6937.00,12,0.0017,16967,93641
12/04/2025,6923.50,6939.00,6894.75,6925.00,4.75,0.0007,12272,86224
12/03/2025,6902.25,6931.25,6876.00,6920.25,21.75,0.0032,16187,79955
12/02/2025,6886.25,6921.50,6871.00,6898.50,13.5,0.002,15215,71868
12/01/2025,6913.50,6922.50,6861.25,6885.00,-33.25,-0.48%,10055,65026
11/28/2025,6888.00,6922.00,6883.50,6918.25,32,0.0046,2997,63645
