Time,Open,High,Low,Latest,Change,%Change,Volume,OpenInt
10/17/2025,6659.25,6718.00,6571.25,6702.50,33.75,0.51%,2081456,1866537
10/16/2025,6715.25,6750.50,6632.00,6668.75,-46.25,-0.69%,2221351,1874949
10/15/2025,6684.25,6766.75,6651.50,6715.00,28.5,0.0043,2009854,1879850
10/14/2025,6691.00,6722.50,6593.25,6686.50,-8.25,-0.12%,2147252,1906215
10/13/2025,6632.00,6711.50,6632.00,6694.75,99.5,0.0151,1772840,1914287
10/10/2025,6779.50,6806.50,6540.25,6595.25,-184,-2.71%,2570043,1946133
10/09/2025,6802.75,6812.25,6760.75,6779.25,-22,-0.32%,1370466,1914300
10/08/2025,6766.00,6807.75,6758.25,6801.25,39.75,0.59%,1047925,1936653
10/07/2025,6789.50,6802.75,6747.25,6761.50,-27.25,-0.40%,1433808,1933609
10/6/2025,6768.00,6797.75,6766.50,6788.75,24.75,0.37%,1087339,1942449
10/3/2025,6764.75,6800.00,6754.00,6764.00,-2.75,-0.04%,1366239,1938615
10/2/2025,6757.00,6782.25,6741.50,6766.75,5.25,0.0008,1182875,1931282
10/01/2025,6725.50,6769.50,6680.00,6761.50,22.75,0.34%,1312743,1933976
09/30/2025,6708.00,6743.50,6693.00,6738.75,25.25,0.38%,1521737,1926751
09/29/2025,6697.00,6736.00,6696.25,6713.50,17,0.0025,1209953,1935786
09/26/2025,6662.75,6703.75,6653.25,6696.50,36.75,0.0055,1338413,1925386
09/25/2025,6697.25,6705.25,6624.25,6659.75,-32.5,-0.49%,1710507,1934591
09/24/2025,6717.75,6728.75,6678.00,6692.25,-22.75,-0.34%,1250173,1925772
09/23/2025,6749.50,6756.50,6701.75,6715.00,-37.5,-0.56%,1264195,1937633
09/22/2025,6716.00,6756.75,6695.25,6752.50,30,0.0045,1081569,1924707
